id,formula,description
10_Ag2W2O7,Ag 2 W 2 O 7,"Ag 2 W 2 O 7 has PymatgenData minimum row of 20, PymatgenData maximum row of 60, PymatgenData mean row of 33, PymatgenData std dev row of 24, PymatgenData minimum group of 60, PymatgenData maximum group of 16, PymatgenData mean group of 13, PymatgenData std dev group of 54, PymatgenData minimum block of 20, PymatgenData maximum block of 30, PymatgenData mean block of 24, PymatgenData std dev block of 66, PymatgenData minimum atomic mass of 16, PymatgenData maximum atomic mass of 18, PymatgenData mean atomic mass of 63, PymatgenData std dev atomic mass of 91, PymatgenData minimum atomic radius of 60, PymatgenData maximum atomic radius of 16, PymatgenData mean atomic radius of 9, PymatgenData std dev atomic radius of 59."
11_Ag3AsS3,Ag 3 As 1 S 3,"Ag 3 As 1 S 3 has PymatgenData minimum row of 30, PymatgenData maximum row of 50, PymatgenData mean row of 40, PymatgenData std dev row of 12, PymatgenData minimum group of 110, PymatgenData maximum group of 16, PymatgenData mean group of 14, PymatgenData std dev group of 30, PymatgenData minimum block of 20, PymatgenData maximum block of 30, PymatgenData mean block of 24, PymatgenData std dev block of 63, PymatgenData minimum atomic mass of 32, PymatgenData maximum atomic mass of 11, PymatgenData mean atomic mass of 71, PymatgenData std dev atomic mass of 45, PymatgenData minimum atomic radius of 100, PymatgenData maximum atomic radius of 16, PymatgenData mean atomic radius of 13, PymatgenData std dev atomic radius of 36."
12_Ag3PO4,Ag 3 P 1 O 4,"Ag 3 P 1 O 4 has PymatgenData minimum row of 20, PymatgenData maximum row of 50, PymatgenData mean row of 32, PymatgenData std dev row of 18, PymatgenData minimum group of 110, PymatgenData maximum group of 16, PymatgenData mean group of 14, PymatgenData std dev group of 30, PymatgenData minimum block of 20, PymatgenData maximum block of 30, PymatgenData mean block of 24, PymatgenData std dev block of 63, PymatgenData minimum atomic mass of 16, PymatgenData maximum atomic mass of 11, PymatgenData mean atomic mass of 52, PymatgenData std dev atomic mass of 56, PymatgenData minimum atomic radius of 60, PymatgenData maximum atomic radius of 16, PymatgenData mean atomic radius of 10, PymatgenData std dev atomic radius of 60."
13_Ag3PS4,Ag 3 P 1 S 4,"Ag 3 P 1 S 4 has PymatgenData minimum row of 30, PymatgenData maximum row of 50, PymatgenData mean row of 38, PymatgenData std dev row of 13, PymatgenData minimum group of 110, PymatgenData maximum group of 16, PymatgenData mean group of 14, PymatgenData std dev group of 30, PymatgenData minimum block of 20, PymatgenData maximum block of 30, PymatgenData mean block of 24, PymatgenData std dev block of 63, PymatgenData minimum atomic mass of 31, PymatgenData maximum atomic mass of 11, PymatgenData mean atomic mass of 60, PymatgenData std dev atomic mass of 48, PymatgenData minimum atomic radius of 100, PymatgenData maximum atomic radius of 16, PymatgenData mean atomic radius of 12, PymatgenData std dev atomic radius of 38."
14_Ag3PSe4,Ag 3 P 1 Se 4,"Ag 3 P 1 Se 4 has PymatgenData minimum row of 30, PymatgenData maximum row of 50, PymatgenData mean row of 42, PymatgenData std dev row of 9, PymatgenData minimum group of 110, PymatgenData maximum group of 16, PymatgenData mean group of 14, PymatgenData std dev group of 30, PymatgenData minimum block of 20, PymatgenData maximum block of 30, PymatgenData mean block of 24, PymatgenData std dev block of 63, PymatgenData minimum atomic mass of 31, PymatgenData maximum atomic mass of 11, PymatgenData mean atomic mass of 84, PymatgenData std dev atomic mass of 31, PymatgenData minimum atomic radius of 100, PymatgenData maximum atomic radius of 16, PymatgenData mean atomic radius of 13, PymatgenData std dev atomic radius of 31."
15_Ag4P2S7,Ag 4 P 2 S 7,"Ag 4 P 2 S 7 has PymatgenData minimum row of 30, PymatgenData maximum row of 50, PymatgenData mean row of 36, PymatgenData std dev row of 12, PymatgenData minimum group of 110, PymatgenData maximum group of 16, PymatgenData mean group of 14, PymatgenData std dev group of 29, PymatgenData minimum block of 20, PymatgenData maximum block of 30, PymatgenData mean block of 23, PymatgenData std dev block of 60, PymatgenData minimum atomic mass of 31, PymatgenData maximum atomic mass of 11, PymatgenData mean atomic mass of 55, PymatgenData std dev atomic mass of 46, PymatgenData minimum atomic radius of 100, PymatgenData maximum atomic radius of 16, PymatgenData mean atomic radius of 12, PymatgenData std dev atomic radius of 36."
16_Ag4TeSO4,Ag 4 Te 1 S 1 O 4,"Ag 4 Te 1 S 1 O 4 has PymatgenData minimum row of 20, PymatgenData maximum row of 50, PymatgenData mean row of 36, PymatgenData std dev row of 18, PymatgenData minimum group of 110, PymatgenData maximum group of 16, PymatgenData mean group of 14, PymatgenData std dev group of 30, PymatgenData minimum block of 20, PymatgenData maximum block of 30, PymatgenData mean block of 24, PymatgenData std dev block of 60, PymatgenData minimum atomic mass of 16, PymatgenData maximum atomic mass of 13, PymatgenData mean atomic mass of 66, PymatgenData std dev atomic mass of 58, PymatgenData minimum atomic radius of 60, PymatgenData maximum atomic radius of 16, PymatgenData mean atomic radius of 11, PymatgenData std dev atomic radius of 56."
17_Ag5BiO4,Ag 5 Bi 1 O 4,"Ag 5 Bi 1 O 4 has PymatgenData minimum row of 20, PymatgenData maximum row of 60, PymatgenData mean row of 39, PymatgenData std dev row of 21, PymatgenData minimum group of 110, PymatgenData maximum group of 16, PymatgenData mean group of 13, PymatgenData std dev group of 32, PymatgenData minimum block of 20, PymatgenData maximum block of 30, PymatgenData mean block of 25, PymatgenData std dev block of 66, PymatgenData minimum atomic mass of 16, PymatgenData maximum atomic mass of 21, PymatgenData mean atomic mass of 81, PymatgenData std dev atomic mass of 80, PymatgenData minimum atomic radius of 60, PymatgenData maximum atomic radius of 16, PymatgenData mean atomic radius of 12, PymatgenData std dev atomic radius of 64."
18_Ag5GeO4,Ag 5 Ge 1 O 4,"Ag 5 Ge 1 O 4 has PymatgenData minimum row of 20, PymatgenData maximum row of 50, PymatgenData mean row of 37, PymatgenData std dev row of 19, PymatgenData minimum group of 110, PymatgenData maximum group of 16, PymatgenData mean group of 13, PymatgenData std dev group of 31, PymatgenData minimum block of 20, PymatgenData maximum block of 30, PymatgenData mean block of 25, PymatgenData std dev block of 66, PymatgenData minimum atomic mass of 16, PymatgenData maximum atomic mass of 11, PymatgenData mean atomic mass of 68, PymatgenData std dev atomic mass of 57, PymatgenData minimum atomic radius of 60, PymatgenData maximum atomic radius of 16, PymatgenData mean atomic radius of 12, PymatgenData std dev atomic radius of 62."
19_Ag5PSeO4,Ag 5 P 1 Se 1 O 4,"Ag 5 P 1 Se 1 O 4 has PymatgenData minimum row of 20, PymatgenData maximum row of 50, PymatgenData mean row of 36, PymatgenData std dev row of 17, PymatgenData minimum group of 110, PymatgenData maximum group of 16, PymatgenData mean group of 14, PymatgenData std dev group of 30, PymatgenData minimum block of 20, PymatgenData maximum block of 30, PymatgenData mean block of 25, PymatgenData std dev block of 62, PymatgenData minimum atomic mass of 16, PymatgenData maximum atomic mass of 11, PymatgenData mean atomic mass of 65, PymatgenData std dev atomic mass of 53, PymatgenData minimum atomic radius of 60, PymatgenData maximum atomic radius of 16, PymatgenData mean atomic radius of 11, PymatgenData std dev atomic radius of 56."
20_Ag5SbS4,Ag 5 Sb 1 S 4,"Ag 5 Sb 1 S 4 has PymatgenData minimum row of 30, PymatgenData maximum row of 50, PymatgenData mean row of 42, PymatgenData std dev row of 13, PymatgenData minimum group of 110, PymatgenData maximum group of 16, PymatgenData mean group of 13, PymatgenData std dev group of 32, PymatgenData minimum block of 20, PymatgenData maximum block of 30, PymatgenData mean block of 25, PymatgenData std dev block of 66, PymatgenData minimum atomic mass of 32, PymatgenData maximum atomic mass of 12, PymatgenData mean atomic mass of 79, PymatgenData std dev atomic mass of 51, PymatgenData minimum atomic radius of 100, PymatgenData maximum atomic radius of 16, PymatgenData mean atomic radius of 13, PymatgenData std dev atomic radius of 37."
21_Ag5TePO4,Ag 5 Te 1 P 1 O 4,"Ag 5 Te 1 P 1 O 4 has PymatgenData minimum row of 20, PymatgenData maximum row of 50, PymatgenData mean row of 37, PymatgenData std dev row of 18, PymatgenData minimum group of 110, PymatgenData maximum group of 16, PymatgenData mean group of 14, PymatgenData std dev group of 30, PymatgenData minimum block of 20, PymatgenData maximum block of 30, PymatgenData mean block of 25, PymatgenData std dev block of 62, PymatgenData minimum atomic mass of 16, PymatgenData maximum atomic mass of 13, PymatgenData mean atomic mass of 69, PymatgenData std dev atomic mass of 58, PymatgenData minimum atomic radius of 60, PymatgenData maximum atomic radius of 16, PymatgenData mean atomic radius of 12, PymatgenData std dev atomic radius of 57."
22_AgAsO3,Ag 1 As 1 O 3,"Ag 1 As 1 O 3 has PymatgenData minimum row of 20, PymatgenData maximum row of 50, PymatgenData mean row of 30, PymatgenData std dev row of 17, PymatgenData minimum group of 110, PymatgenData maximum group of 16, PymatgenData mean group of 15, PymatgenData std dev group of 26, PymatgenData minimum block of 20, PymatgenData maximum block of 30, PymatgenData mean block of 22, PymatgenData std dev block of 53, PymatgenData minimum atomic mass of 16, PymatgenData maximum atomic mass of 11, PymatgenData mean atomic mass of 46, PymatgenData std dev atomic mass of 51, PymatgenData minimum atomic radius of 60, PymatgenData maximum atomic radius of 16, PymatgenData mean atomic radius of 9, PymatgenData std dev atomic radius of 54."
23_AgAsS2,Ag 1 As 1 S 2,"Ag 1 As 1 S 2 has PymatgenData minimum row of 30, PymatgenData maximum row of 50, PymatgenData mean row of 38, PymatgenData std dev row of 10, PymatgenData minimum group of 110, PymatgenData maximum group of 16, PymatgenData mean group of 14, PymatgenData std dev group of 26, PymatgenData minimum block of 20, PymatgenData maximum block of 30, PymatgenData mean block of 22, PymatgenData std dev block of 55, PymatgenData minimum atomic mass of 32, PymatgenData maximum atomic mass of 11, PymatgenData mean atomic mass of 62, PymatgenData std dev atomic mass of 40, PymatgenData minimum atomic radius of 100, PymatgenData maximum atomic radius of 16, PymatgenData mean atomic radius of 12, PymatgenData std dev atomic radius of 31."
24_AgB3O5,Ag 1 B 3 O 5,"Ag 1 B 3 O 5 has PymatgenData minimum row of 20, PymatgenData maximum row of 50, PymatgenData mean row of 23, PymatgenData std dev row of 13, PymatgenData minimum group of 110, PymatgenData maximum group of 16, PymatgenData mean group of 14, PymatgenData std dev group of 24, PymatgenData minimum block of 20, PymatgenData maximum block of 30, PymatgenData mean block of 21, PymatgenData std dev block of 42, PymatgenData minimum atomic mass of 11, PymatgenData maximum atomic mass of 11, PymatgenData mean atomic mass of 24, PymatgenData std dev atomic mass of 39, PymatgenData minimum atomic radius of 60, PymatgenData maximum atomic radius of 16, PymatgenData mean atomic radius of 8, PymatgenData std dev atomic radius of 41."
25_AgBi(PS3)2,Ag 1 Bi 1 P 2 S 6,"Ag 1 Bi 1 P 2 S 6 has PymatgenData minimum row of 30, PymatgenData maximum row of 60, PymatgenData mean row of 35, PymatgenData std dev row of 13, PymatgenData minimum group of 110, PymatgenData maximum group of 16, PymatgenData mean group of 15, PymatgenData std dev group of 19, PymatgenData minimum block of 20, PymatgenData maximum block of 30, PymatgenData mean block of 21, PymatgenData std dev block of 39, PymatgenData minimum atomic mass of 31, PymatgenData maximum atomic mass of 21, PymatgenData mean atomic mass of 57, PymatgenData std dev atomic mass of 73, PymatgenData minimum atomic radius of 100, PymatgenData maximum atomic radius of 16, PymatgenData mean atomic radius of 11, PymatgenData std dev atomic radius of 32."
26_AgBi(PSe3)2,Ag 1 Bi 1 P 2 Se 6,"Ag 1 Bi 1 P 2 Se 6 has PymatgenData minimum row of 30, PymatgenData maximum row of 60, PymatgenData mean row of 41, PymatgenData std dev row of 11, PymatgenData minimum group of 110, PymatgenData maximum group of 16, PymatgenData mean group of 15, PymatgenData std dev group of 19, PymatgenData minimum block of 20, PymatgenData maximum block of 30, PymatgenData mean block of 21, PymatgenData std dev block of 39, PymatgenData minimum atomic mass of 31, PymatgenData maximum atomic mass of 21, PymatgenData mean atomic mass of 85, PymatgenData std dev atomic mass of 62, PymatgenData minimum atomic radius of 100, PymatgenData maximum atomic radius of 16, PymatgenData mean atomic radius of 12, PymatgenData std dev atomic radius of 27."
27_AgBi3S5,Ag 1 Bi 3 S 5,"Ag 1 Bi 3 S 5 has PymatgenData minimum row of 30, PymatgenData maximum row of 60, PymatgenData mean row of 42, PymatgenData std dev row of 19, PymatgenData minimum group of 110, PymatgenData maximum group of 16, PymatgenData mean group of 15, PymatgenData std dev group of 20, PymatgenData minimum block of 20, PymatgenData maximum block of 30, PymatgenData mean block of 21, PymatgenData std dev block of 42, PymatgenData minimum atomic mass of 32, PymatgenData maximum atomic mass of 21, PymatgenData mean atomic mass of 99, PymatgenData std dev atomic mass of 107, PymatgenData minimum atomic radius of 100, PymatgenData maximum atomic radius of 16, PymatgenData mean atomic radius of 13, PymatgenData std dev atomic radius of 40."
28_AgBiS2,Ag 1 Bi 1 S 2,"Ag 1 Bi 1 S 2 has PymatgenData minimum row of 30, PymatgenData maximum row of 60, PymatgenData mean row of 42, PymatgenData std dev row of 16, PymatgenData minimum group of 110, PymatgenData maximum group of 16, PymatgenData mean group of 14, PymatgenData std dev group of 26, PymatgenData minimum block of 20, PymatgenData maximum block of 30, PymatgenData mean block of 22, PymatgenData std dev block of 55, PymatgenData minimum atomic mass of 32, PymatgenData maximum atomic mass of 21, PymatgenData mean atomic mass of 95, PymatgenData std dev atomic mass of 92, PymatgenData minimum atomic radius of 100, PymatgenData maximum atomic radius of 16, PymatgenData mean atomic radius of 13, PymatgenData std dev atomic radius of 38."
29_AgHg2AsO4,Ag 1 Hg 2 As 1 O 4,"Ag 1 Hg 2 As 1 O 4 has PymatgenData minimum row of 20, PymatgenData maximum row of 60, PymatgenData mean row of 36, PymatgenData std dev row of 21, PymatgenData minimum group of 110, PymatgenData maximum group of 16, PymatgenData mean group of 14, PymatgenData std dev group of 25, PymatgenData minimum block of 20, PymatgenData maximum block of 30, PymatgenData mean block of 24, PymatgenData std dev block of 60, PymatgenData minimum atomic mass of 16, PymatgenData maximum atomic mass of 20, PymatgenData mean atomic mass of 81, PymatgenData std dev atomic mass of 94, PymatgenData minimum atomic radius of 60, PymatgenData maximum atomic radius of 16, PymatgenData mean atomic radius of 10, PymatgenData std dev atomic radius of 54."
30_AgHg2PO4,Ag 1 Hg 2 P 1 O 4,"Ag 1 Hg 2 P 1 O 4 has PymatgenData minimum row of 20, PymatgenData maximum row of 60, PymatgenData mean row of 35, PymatgenData std dev row of 21, PymatgenData minimum group of 110, PymatgenData maximum group of 16, PymatgenData mean group of 14, PymatgenData std dev group of 25, PymatgenData minimum block of 20, PymatgenData maximum block of 30, PymatgenData mean block of 24, PymatgenData std dev block of 60, PymatgenData minimum atomic mass of 16, PymatgenData maximum atomic mass of 20, PymatgenData mean atomic mass of 76, PymatgenData std dev atomic mass of 96, PymatgenData minimum atomic radius of 60, PymatgenData maximum atomic radius of 16, PymatgenData mean atomic radius of 10, PymatgenData std dev atomic radius of 53."
31_AgHg3SbO6,Ag 1 Hg 3 Sb 1 O 6,"Ag 1 Hg 3 Sb 1 O 6 has PymatgenData minimum row of 20, PymatgenData maximum row of 60, PymatgenData mean row of 36, PymatgenData std dev row of 23, PymatgenData minimum group of 110, PymatgenData maximum group of 16, PymatgenData mean group of 14, PymatgenData std dev group of 26, PymatgenData minimum block of 20, PymatgenData maximum block of 30, PymatgenData mean block of 24, PymatgenData std dev block of 62, PymatgenData minimum atomic mass of 16, PymatgenData maximum atomic mass of 20, PymatgenData mean atomic mass of 84, PymatgenData std dev atomic mass of 102, PymatgenData minimum atomic radius of 60, PymatgenData maximum atomic radius of 16, PymatgenData mean atomic radius of 10, PymatgenData std dev atomic radius of 58."
32_AgHgAsS3,Ag 1 Hg 1 As 1 S 3,"Ag 1 Hg 1 As 1 S 3 has PymatgenData minimum row of 30, PymatgenData maximum row of 60, PymatgenData mean row of 40, PymatgenData std dev row of 14, PymatgenData minimum group of 110, PymatgenData maximum group of 16, PymatgenData mean group of 14, PymatgenData std dev group of 25, PymatgenData minimum block of 20, PymatgenData maximum block of 30, PymatgenData mean block of 23, PymatgenData std dev block of 58, PymatgenData minimum atomic mass of 32, PymatgenData maximum atomic mass of 20, PymatgenData mean atomic mass of 80, PymatgenData std dev atomic mass of 75, PymatgenData minimum atomic radius of 100, PymatgenData maximum atomic radius of 16, PymatgenData mean atomic radius of 12, PymatgenData std dev atomic radius of 30."
33_AgNO3,Ag 1 N 1 O 3,"Ag 1 N 1 O 3 has PymatgenData minimum row of 20, PymatgenData maximum row of 50, PymatgenData mean row of 26, PymatgenData std dev row of 16, PymatgenData minimum group of 110, PymatgenData maximum group of 16, PymatgenData mean group of 15, PymatgenData std dev group of 26, PymatgenData minimum block of 20, PymatgenData maximum block of 30, PymatgenData mean block of 22, PymatgenData std dev block of 53, PymatgenData minimum atomic mass of 14, PymatgenData maximum atomic mass of 11, PymatgenData mean atomic mass of 34, PymatgenData std dev atomic mass of 49, PymatgenData minimum atomic radius of 60, PymatgenData maximum atomic radius of 16, PymatgenData mean atomic radius of 8, PymatgenData std dev atomic radius of 53."
34_AgPO3,Ag 1 P 1 O 3,"Ag 1 P 1 O 3 has PymatgenData minimum row of 20, PymatgenData maximum row of 50, PymatgenData mean row of 28, PymatgenData std dev row of 16, PymatgenData minimum group of 110, PymatgenData maximum group of 16, PymatgenData mean group of 15, PymatgenData std dev group of 26, PymatgenData minimum block of 20, PymatgenData maximum block of 30, PymatgenData mean block of 22, PymatgenData std dev block of 53, PymatgenData minimum atomic mass of 16, PymatgenData maximum atomic mass of 11, PymatgenData mean atomic mass of 37, PymatgenData std dev atomic mass of 48, PymatgenData minimum atomic radius of 60, PymatgenData maximum atomic radius of 16, PymatgenData mean atomic radius of 9, PymatgenData std dev atomic radius of 52."
35_AgTeO3,Ag 1 Te 1 O 3,"Ag 1 Te 1 O 3 has PymatgenData minimum row of 20, PymatgenData maximum row of 50, PymatgenData mean row of 32, PymatgenData std dev row of 20, PymatgenData minimum group of 110, PymatgenData maximum group of 16, PymatgenData mean group of 15, PymatgenData std dev group of 27, PymatgenData minimum block of 20, PymatgenData maximum block of 30, PymatgenData mean block of 22, PymatgenData std dev block of 53, PymatgenData minimum atomic mass of 16, PymatgenData maximum atomic mass of 13, PymatgenData mean atomic mass of 57, PymatgenData std dev atomic mass of 67, PymatgenData minimum atomic radius of 60, PymatgenData maximum atomic radius of 16, PymatgenData mean atomic radius of 10, PymatgenData std dev atomic radius of 60."
36_Al2(PS3)3,Al 2 P 3 S 9,"Al 2 P 3 S 9 has PymatgenData minimum row of 30, PymatgenData maximum row of 30, PymatgenData mean row of 30, PymatgenData minimum group of 130, PymatgenData maximum group of 16, PymatgenData mean group of 15, PymatgenData std dev group of 14, PymatgenData minimum block of 20, PymatgenData maximum block of 20, PymatgenData mean block of 20, PymatgenData minimum atomic mass of 27, PymatgenData maximum atomic mass of 3, PymatgenData mean atomic mass of 31, PymatgenData std dev atomic mass of 2, PymatgenData minimum atomic radius of 100, PymatgenData maximum atomic radius of 12, PymatgenData mean atomic radius of 10, PymatgenData std dev atomic radius of 12."
37_Al2(SO4)3,Al 2 S 3 O 12,"Al 2 S 3 O 12 has PymatgenData minimum row of 20, PymatgenData maximum row of 30, PymatgenData mean row of 23, PymatgenData std dev row of 7, PymatgenData minimum group of 130, PymatgenData maximum group of 16, PymatgenData mean group of 16, PymatgenData std dev group of 14, PymatgenData minimum block of 20, PymatgenData maximum block of 20, PymatgenData mean block of 20, PymatgenData minimum atomic mass of 16, PymatgenData maximum atomic mass of 3, PymatgenData mean atomic mass of 20, PymatgenData std dev atomic mass of 10, PymatgenData minimum atomic radius of 60, PymatgenData maximum atomic radius of 12, PymatgenData mean atomic radius of 7, PymatgenData std dev atomic radius of 35."
38_Al2BiS4,Al 2 Bi 1 S 4,"Al 2 Bi 1 S 4 has PymatgenData minimum row of 30, PymatgenData maximum row of 60, PymatgenData mean row of 34, PymatgenData std dev row of 14, PymatgenData minimum group of 130, PymatgenData maximum group of 16, PymatgenData mean group of 15, PymatgenData std dev group of 17, PymatgenData minimum block of 20, PymatgenData maximum block of 20, PymatgenData mean block of 20, PymatgenData minimum atomic mass of 27, PymatgenData maximum atomic mass of 21, PymatgenData mean atomic mass of 56, PymatgenData std dev atomic mass of 83, PymatgenData minimum atomic radius of 100, PymatgenData maximum atomic radius of 16, PymatgenData mean atomic radius of 12, PymatgenData std dev atomic radius of 28."
